benchmark,runtime,run_index,elapsed_time_ns,score,return_code
wasm3,meteor-contest,1,162624753535,0,0
wasm3,nbody,1,149036256807,0,0
wasm3,nqueens,1,134088559687,0,0
wasm3,richards,1,9588718111,0,0
wasm3,spectralnorm,1,207191274534,0,0
jsc,meteor-contest,1,0,0,3
jsc,nbody,1,0,0,3
jsc,nqueens,1,0,0,3
jsc,richards,1,0,0,3
jsc,spectralnorm,1,0,0,3
v8,meteor-contest,1,0,0,1
v8,nbody,1,0,0,1
v8,nqueens,1,0,0,1
v8,richards,1,0,0,1
v8,spectralnorm,1,0,0,1
wasmtime,meteor-contest,1,11071967935,0,0
wasmtime,nbody,1,15472744314,0,0
wasmtime,nqueens,1,8486427252,0,0
wasmtime,richards,1,970792250,0,0
wasmtime,spectralnorm,1,12933979512,0,0
wasmtime-aot,meteor-contest,1,10694832992,0,0
wasmtime-aot,nbody,1,15044653720,0,0
wasmtime-aot,nqueens,1,6666946419,0,0
wasmtime-aot,richards,1,628049625,0,0
wasmtime-aot,spectralnorm,1,12366240156,0,0
wasmtime-pulley64,meteor-contest,1,252613295946,0,0
wasmtime-pulley64,nbody,1,377293077589,0,0
wasmtime-pulley64,nqueens,1,231743193159,0,0
wasmtime-pulley64,richards,1,17892936096,0,0
wasmtime-pulley64,spectralnorm,1,453979177250,0,0
